"userid","module","rank","Cluster","order","nextOrder"
4150,"m6",1,7,8,6
2646,"m6",1,14,6,6
4279,"m6",1,10,7,6
3070,"m6",1,7,8,6
3514,"m6",1,4,9,6
4606,"m6",1,4,9,6
2636,"m6",1,6,9,1
3894,"m6",1,11,1,1
4833,"m6",1,20,3,1
2748,"m6",1,14,6,6
2637,"m6",1,21,9,9
3198,"m6",1,22,4,9
4723,"m6",1,4,9,6
4400,"m6",1,23,8,9
4917,"m6",1,24,8,2
4742,"m6",1,18,9,5
2989,"m6",1,7,8,6
2660,"m6",1,5,9,2
3189,"m6",1,14,6,6
2315,"m6",1,7,8,6
4758,"m6",1,25,8,8
3971,"m6",1,4,9,6
5377,"m6",1,26,3,5
3395,"m6",1,21,9,9
2960,"m6",1,27,8,1
2377,"m6",1,28,7,2
3881,"m6",1,29,6,2
3285,"m5",3,1,5,7
2821,"m5",3,2,6,8
3185,"m5",3,3,6,9
2442,"m5",3,2,6,8
2674,"m5",3,4,8,8
3032,"m5",3,5,9,9
2388,"m5",3,6,8,6
2358,"m5",3,7,8,9
4146,"m5",3,8,9,8
74,"m5",3,3,6,9
3204,"m5",3,2,6,8
3461,"m5",3,5,9,9
4411,"m5",3,3,6,9
2409,"m5",3,9,6,3
2687,"m5",3,4,8,8
2557,"m5",3,5,9,9
2327,"m5",3,2,6,8
3000,"m5",3,4,8,8
2424,"m5",3,10,6,6
2523,"m5",3,3,6,9
2553,"m5",3,4,8,8
3385,"m5",3,4,8,8
2901,"m5",3,5,9,9
3272,"m5",3,4,8,8
2319,"m5",3,2,6,8
2458,"m5",3,7,8,9
2341,"m5",3,4,8,8
2707,"m5",3,7,8,9
2769,"m5",3,5,9,9
2535,"m5",3,2,6,8
2435,"m5",3,4,8,8
2664,"m5",3,4,8,8
2532,"m5",3,5,9,9
2350,"m5",3,11,4,9
3030,"m5",3,12,5,3
3407,"m5",3,7,8,9
2351,"m5",3,13,5,8
3298,"m5",3,2,6,8
2485,"m5",3,3,6,9
2422,"m5",3,4,8,8
4085,"m5",3,5,9,9
2352,"m5",3,4,8,8
2613,"m5",3,7,8,9
2708,"m5",3,7,8,9
2495,"m5",3,2,6,8
4166,"m5",3,3,6,9
2386,"m5",3,7,8,9
2461,"m5",3,14,8,7
3800,"m5",3,7,8,9
2941,"m5",3,3,6,9
2952,"m5",3,15,4,3
2948,"m5",3,2,6,8
2318,"m5",3,16,6,7
4309,"m5",3,5,9,9
3133,"m5",3,7,8,9
3866,"m5",3,16,6,7
2502,"m5",3,4,8,8
2392,"m5",3,4,8,8
2815,"m5",3,8,9,8
2800,"m5",3,7,8,9
3708,"m5",3,4,8,8
3058,"m5",3,3,6,9
2570,"m5",3,4,8,8
2788,"m5",3,2,6,8
2398,"m5",3,7,8,9
2741,"m5",3,7,8,9
2703,"m5",3,4,8,8
3901,"m5",3,5,9,9
2328,"m5",3,7,8,9
2604,"m5",2,1,6,9
3256,"m5",2,2,8,9
2389,"m5",2,3,6,8
